idestacion,lat,lon,uso,luns,lune,lunt,mars,mare,mart,mies,miee,miet,jues,juee,juet,vies,viee,viet,sabs,sabt,sabe,doms,dome,domt,totals,totale,tipoestacion
35,19.382,-99.179,981,-0.19,0.46,2,-0.19,0.51,2,-0.18,0.48,2,-0.17,0.5,2,-0.21,0.45,2,-0.18,0.26,2,-0.25,0.17,3,-0.19,0.4,2
36,19.374,-99.181,1031,-0.24,0.6,2,-0.27,0.65,5,-0.25,0.61,5,-0.21,0.63,2,-0.23,0.58,2,-0.17,0.37,2,-0.23,0.28,2,-0.22,0.53,2
37,19.38,-99.181,980,-0.32,0.65,5,-0.36,0.7,5,-0.28,0.69,5,-0.32,0.67,5,-0.25,0.65,5,-0.16,0.42,2,-0.23,0.26,2,-0.27,0.57,5
38,19.373,-99.178,844,-0.14,0.21,1,-0.15,0.24,1,-0.11,0.27,2,-0.09,0.24,1,-0.07,0.22,1,-0.06,0.11,1,-0.08,0.08,6,-0.1,0.19,1
39,19.395,-99.173,1050,-0.16,0.28,2,-0.14,0.33,2,-0.14,0.33,2,-0.13,0.33,2,-0.14,0.29,2,-0.12,0.22,1,-0.15,0.18,1,-0.14,0.28,2
40,19.379,-99.177,1016,-0.33,0.19,3,-0.39,0.19,3,-0.4,0.18,3,-0.38,0.17,3,-0.37,0.18,3,-0.24,0.12,1,-0.2,0.21,1,-0.33,0.17,3
41,19.382,-99.177,1045,-0.15,0.42,2,-0.17,0.49,2,-0.13,0.48,2,-0.14,0.49,2,-0.12,0.42,2,-0.13,0.25,2,-0.16,0.19,1,-0.14,0.39,2
42,19.388,-99.181,976,-0.41,0.48,5,-0.47,0.5,5,-0.42,0.48,5,-0.44,0.48,5,-0.37,0.51,5,-0.15,0.51,2,-0.16,0.57,2,-0.34,0.5,5
43,19.359,-99.156,959,-0.08,0.14,1,-0.07,0.16,1,-0.08,0.15,1,-0.08,0.14,1,-0.08,0.12,1,-0.06,0.07,1,-0.07,0.06,1,-0.07,0.12,1
44,19.363,-99.158,914,-0.25,0.69,5,-0.29,0.71,5,-0.25,0.73,5,-0.2,0.71,2,-0.19,0.71,2,-0.18,0.33,2,-0.26,0.26,6,-0.23,0.59,2
45,19.37,-99.174,1038,-0.11,0.62,2,-0.11,0.63,2,-0.1,0.63,2,-0.1,0.64,2,-0.08,0.6,2,-0.09,0.41,2,-0.12,0.37,2,-0.1,0.55,2
